"","x"
"1",0.0605191502569396
"2",0.0469450545405862
"3",0.051384623328388
"4",0.043969660983458
"5",0.0486068536075588
"6",0.0485174843267181
"7",0.0507980966763327
"8",0.0453447019286075
"9",0.0484207920386919
"10",0.0477444256709859
"11",0.0509823362507216
"12",0.0434172792408599
"13",0.0454951995473614
"14",0.0433322228335112
"15",0.0440789385161116
"16",0.045421299300759
"17",0.0528716493114171
"18",0.0427853398964549
"19",0.0423623582184332
"20",0.0446888004272698
"21",0.04882993509107
"22",0.0493679981748678
"23",0.0484101266883094
"24",0.0448134102447101
"25",0.0454583217418004
"26",0.05257397855814
"27",0.045908057937283
"28",0.0479583423004368
"29",0.0466316212754929
"30",0.0464113484189642
"31",0.0485037744631153
"32",0.0452857838941694
"33",0.0416633869176521
"34",0.0508240667574092
"35",0.0468713417035258
"36",0.0400376316788791
"37",0.050243593976558
"38",0.0540774991908311
"39",0.0459015511855321
"40",0.0513391098140935
"41",0.0471147444869423
"42",0.0444875548784694
"43",0.0489966287104572
"44",0.0472497935550541
"45",0.0445228294586296
"46",0.0480667512695417
"47",0.0488351531054497
"48",0.0443411457801011
"49",0.0461062293946219
"50",0.0432825194758693
"51",0.0440132932348711
"52",0.0494991286680747
"53",0.0455003249032439
"54",0.043803109076457
"55",0.041770783057553
"56",0.049059939970362
"57",0.0455078081522836
"58",0.0491933808008742
"59",0.0479188133484584
"60",0.0474368089760407
"61",0.0589061497696714
"62",0.0482017379699445
"63",0.0477059436518865
"64",0.0419796237384213
"65",0.0486371209877562
"66",0.0426883851250266
"67",0.0463050803893242
"68",0.0490268573696617
"69",0.0429237175610615
"70",0.0549477267262389
"71",0.0504664158713514
"72",0.0441687239094209
"73",0.0481422074718394
"74",0.0503423633989872
"75",0.0484719968699285
"76",0.0460062107755064
"77",0.0436912115828282
"78",0.0490006472418443
"79",0.0491106322393711
"80",0.0492711937756684
"81",0.0466989390613111
"82",0.0469111961963654
"83",0.0478835455304948
"84",0.0464934076806075
"85",0.0429891785008277
"86",0.0471121666579034
"87",0.0485164370252998
"88",0.047018550957749
"89",0.0471309384442326
"90",0.0504467483180034
"91",0.0487420325546287
"92",0.0437510340081336
"93",0.0512747897295618
"94",0.0460239996263627
"95",0.0591246092915142
"96",0.0449234384727731
"97",0.0488494628257123
"98",0.0483482419806656
"99",0.048612606188301
"100",0.0401969492522085
"101",0.0581195711624996
"102",0.0455556864061654
"103",0.0445867745527405
"104",0.0433586339323939
"105",0.0455444060083418
"106",0.0494034401865152
"107",0.0444235530929247
"108",0.0452968034786059
"109",0.048525569059509
"110",0.0412961687259695
"111",0.0487269872656828
"112",0.0446937801632183
"113",0.0480070435644014
"114",0.0540677614835849
"115",0.0559471115903261
"116",0.040879454710434
"117",0.0585990421172951
"118",0.0440464169902307
"119",0.0463944407245769
"120",0.0440113381243052
"121",0.0437749603861793
"122",0.047256616452795
"123",0.0442837812418726
"124",0.0482533241811532
"125",0.0456883977995524
"126",0.0510020601688385
"127",0.0450672200015839
"128",0.0529056686171348
"129",0.044904768186952
"130",0.0441768691365478
"131",0.0556164933124758
"132",0.0440564798316298
"133",0.0455927926958783
"134",0.0501626402678349
"135",0.0447637769015163
"136",0.0460513725290027
"137",0.0501974433178342
"138",0.0546064267255834
"139",0.0492891095481862
"140",0.0442996455059904
"141",0.0502786925192816
"142",0.0561924927467864
"143",0.0458259450329773
"144",0.0459664151388945
"145",0.0461797668171884
"146",0.0442298137549251
"147",0.0428470521580919
"148",0.0495199139351783
"149",0.0454983244754845
"150",0.0415927084459715
"151",0.0446973716675997
"152",0.0426241706557617
"153",0.0426190475175339
"154",0.0495460994050055
"155",0.0481740837794289
"156",0.0447120394408517
"157",0.0475879129471754
"158",0.0502893537257256
"159",0.0478380390501362
"160",0.0486840942051251
"161",0.0478785074023737
"162",0.0502419708081952
"163",0.0465814633281468
"164",0.0499644540202969
"165",0.0416197886385181
"166",0.0569047505188031
"167",0.0467057607727728
"168",0.0436334137054694
"169",0.048145508758527
"170",0.0461263561822181
"171",0.0474243251789813
"172",0.0476031708638472
"173",0.0446517839492691
"174",0.047797549021821
"175",0.0484388651786045
"176",0.0479333410414122
"177",0.043886912528504
"178",0.0438332911345333
"179",0.0484572176532975
"180",0.0450304589114858
"181",0.0480433056458649
"182",0.0455136752767573
"183",0.0477835809719254
"184",0.0427824020334541
"185",0.0476857014533865
"186",0.0493437781974196
"187",0.042159900475761
"188",0.04687992822172
"189",0.0457658286300485
"190",0.0446353935270536
"191",0.0414423051229229
"192",0.0467209574234057
"193",0.0472928006896434
"194",0.0499360899181041
"195",0.0502743539437472
"196",0.0519744236957851
"197",0.0443511411945564
"198",0.0509835917914503
"199",0.0477459819176869
"200",0.0462489103488663
"201",0.050181009090045
"202",0.0462617076531865
"203",0.0483762005156101
"204",0.0476410381991726
"205",0.0482501293798954
